Name,location,Type,Reviews,Dietary Type,Price_Range
Gary Danko  ,"San Francisco, California  ",European,4.8,"Vegetarian,Diary-Free  ",$$$$  
Providence  ,"Los Angeles, California  ","Mexican,Chinese  ",4.7,Gluten-Free,$$$$  
Republique  ,"Los Angeles, California  ",European  ,4.8,"Vegetarian,Kosher ",$$$  
Spago  ,"Beverly Hills, California  ",American  ,4.6,"Vegetarian,Gluten-Free  ",$$$$  
Bavel  ,"Los Angeles, California  ","Asian,Japanese",4.7,"Vegetarian,Vegan  ",$$$  
Gjelina  ,"Los Angeles, California  ",Italian  ,4.6,Vegetarian ,$$$  
Sqirl  ,"Los Angeles, California  ","Mediterranean,Italian ",4.5,"Vegetarian,Vegan  ",$$  
Pizzeria Mozza  ,"Los Angeles, California  ",Italian ,4.4,Vegetarian,$$$  
Hinoki & the Bird  ,"Los Angeles, California  ","Asian,European  ",4.5,"Gluten-Free,Nut-Free ",$$$  
Guerilla Tacos  ,"Los Angeles, California  ",Mexican  ,4.3,"Vegetarian,Vegan  ",$$  
Night + Market Song  ,"Los Angeles, California  ","Thai,Chinese  ",4.5,"Vegetarian,Halal ",$$  
Rustic Canyon  ,"Santa Monica, California  ","American,Italian  ",4.4,"Vegetarian,Gluten-Free  ",$$$  
State Bird Provisions  ,"San Francisco, California  ",American  ,4.5,"Vegetarian,Diary-Free  ",$$$  
Tartine Manufactory  ,"San Francisco, California  ",Mediterranean ,4.7,"Vegetarian,Vegan  ",$$  
Nopalito  ,"San Francisco, California  ","Mexican,Mediterranean  ",4.6,"Vegetarian,Halal   ",$$  
The Taco María  ,"Costa Mesa, California  ",Mexican  ,4.4,"Vegetarian, Gluten-Free  ",$$$  
Manresa  ,"Los Gatos, California  ","American,Indian,Mediterranean     ",4.7,"Vegetarian,Diary-Free ",$$$$  
Atelier Crenn  ,"San Francisco, California  ","European,Italian  ",4.8,"Vegan,Halal ",$$$
SingleThread  ,"Healdsburg, California  ","Japanese,Indian  ",4.8,"Vegetarian,Gluten-Free  ",$$$$  
The Progress  ,"San Francisco, California  ","American,Indian,Chinese ",4.9,"Vegetarian,Diary-Free,Kosher",$$$  
Lazy Bear  ,"San Francisco, California  ","American,European  ",4.6,"Vegetarian, Vegan  ",$$$$  
Saison  ,"San Francisco, California  ","European,Italian,American   ",4.7,Vegetarian   ,$$$$  
Californios ,"San Francisco, California ",Mexican ,4.8,"Gluten-Free,Halal ",$$$$
 Sushi Den  ,"Denver, Colorado  ", Japanese  ,4.6,"Nut-Free, Dairy-Free  ",$$$
 Uchi  ," Denver, Colorado  ", Japanese  ,4.7," Vegan, Gluten-Free  ",$$$
 Mizu Izakaya  ," Denver, Colorado  ", Japanese  ,4.4, Nut-Free  ,$$
 Taj Indian Cuisine  ," Denver, Colorado  "," Indian,Asian  ",4.5," Vegetarian, Vegan  ",$$
 Little India  ," Denver, Colorado  ", Indian  ,4.8, Dairy-Free  ,$$$$
 Spice Room  ," Denver, Colorado  ", Indian  ,4.5, Halal  ,$$$
 Zoe Ma Ma  ," Boulder, Colorado  "," Chinese,Asian  ",4.7, Vegan  ,$$$
 Fortune Wok to Table  ," Denver, Colorado  "," Chinese,Asian  ",4.6, Nut-Free  ,$$
 Star Kitchen  ," Denver, Colorado  "," Chinese,Japanese  ",4.3, Dairy-Free  ,$$
 Ash’Kara  ," Denver, Colorado  "," Mediterranean,European  ",4.5, Kosher  ,$$
 Safta  ," Denver, Colorado  ", Mediterranean  ,4.7," Vegan, Gluten-Free  ",$$$
 Jerusalem Restaurant  ," Denver, Colorado  ", Mediterranean  ,4.8, Halal  ,$$$
 Café Berlin  ," Denver, Colorado  "," European,Italian  ",4.7, Vegetarian  ,$$$$
 The Greenwich  ," Denver, Colorado  ", European  ,4.9, Dairy-Free  ,$$$
 Bistro Vendôme  ," Denver, Colorado  "," Italian,Mediterranean  ",4.6, Gluten-Free  ,$$
 Annette  ," Denver, Colorado  ", Italian  ,4.5, Vegetarian  ,$$$
 Hop Alley  ," Denver, Colorado  "," Asian,Japanese  ",4.4, Nut-Free  ,$$
 ChoLon Modern Asian  ," Denver, Colorado  ", Asian  ,4.6, Vegan  ,$$
 Uncle  ," Denver, Colorado  "," Asian,Thai  ",4.5, Dairy-Free  ,$$$
 Kawa Ni  ," Denver, Colorado  "," Asian,Chinese  ",4.4, Nut-Free  ,$$$
 El Five  ," Denver, Colorado  ", Mediterranean  ,4.3, Vegan  ,$$
 Café Mercato  ," Denver, Colorado  ", European  ,4.7, Dairy-Free  ,$$$
 Ash’Kara  ," Denver, Colorado  ", Mediterranean  ,4.6, Kosher  ,$$$
 The Bindery  ," Denver, Colorado  "," American,Mediterranean  ",4.4, Vegetarian  ,$$
 Comal Heritage Food Incubator  ," Denver, Colorado  ", American  ,4.5, Vegan  ,$$$
 La Diabla Pozole y Mezcal  ," Denver, Colorado  ", Mexican  ,4.6, Nut-Free  ,$$$
 Mister Tuna  ," Denver, Colorado  ", American  ,4.5, Dairy-Free  ,$$
 Work & Class  ," Denver, Colorado  ", Mexican ,4.7, Vegetarian  ,$$$
 Rioja  ," Denver, Colorado  ", Mediterranean  ,4.6, Gluten-Free  ,$$$
 Root Down," Denver, Colorado  ", American,4.5,Vegan,$$
Feng Asian Bistro,"Fairfield, Connecticut","Asian,Chinese,Japanese",4.5,Nut-free,$$
Tengda Asian Bistro,"New Canaan, Connecticut","Asian,American",4.4,Dairy-free,$$
Mecha Noodle Bar,"Fairfield, Connecticut","Asian,Mexican",4.6,"Vegan,Kosher",$$
Kawa Ni,"Westport, Connecticut",Japanese,4.7,Gluten-free,$$$
Hachi Japanese Restaurant,"Danbury, Connecticut","Japanese,Asian",4.3,Nut-free,$$
Matsu Sushi,"Westport, Connecticut",Japanese,4.5,"Dairy-free,Halal",$$
Coromandel Indian Cuisine,"Orange, Connecticut","Indian,Asian",4.4,Vegetarian,$$
Utsav Indian Restaurant,"Hartford, Connecticut",Indian,4.2,"Vegan,Halal",$
Thali Too,"New Haven, Connecticut",Indian,4.5,Gluten-free,$$
Royal India,"Greenwich, Connecticut",Indian,4.6,"Halal,Kosher",$$
Sichuan Palace,"West Hartford, Connecticut","Chinese,Japanese",4.3,Nut-free,$
Hunan House,"Stamford, Connecticut",Chinese,4.4,Dairy-free,$$
Great Wall Chinese Restaurant,"New London, Connecticut",Chinese,4.1,Vegetarian,$
Barcelona Wine Bar,"Fairfield, Connecticut","Mediterranean,Chinese",4.7,Vegan,$$$
Oliva Restaurant,"New Haven, Connecticut","Mediterranean,Indian",4.5,Gluten-free,$$
Shell & Bones Oyster Bar,"New Haven, Connecticut","Mediterranean,Chinese,Indian",4.6,"Nut-free,Halal",$$$
Olea Mediterranean Grill,"New Haven, Connecticut",Mediterranean,4.4,Dairy-free,$$
Treva Mediterranean Bistro,"Westport, Connecticut","Mediterranean,Asian,Indian",4.5,Vegetarian,$$$
Zohara Mediterranean Kitchen,"Westport, Connecticut",Mediterranean,4.6,"Vegan,Vegetarian",$$$
Tavern on State,"New Haven, Connecticut","European,Indian,Italian",4.7,Gluten-free,$$
The Place 2 Be,"Hartford, Connecticut","European,Asian",4.3,Nut-free,$$
Mill on the River,"South Windsor, Connecticut","European,American",4.5,"Dairy-free,Vegetarian",$$$
Carbone's Ristorante,"Hartford, Connecticut","Italian,American",4.4,Vegetarian,$$
Adriana's Restaurant,"New Haven, Connecticut","Italian,Mediterranean",4.6,Vegan,$$$$
Artisan at Delamar Hotel,"Southport, Connecticut",Italian,4.8,Gluten-free,$$$
Bar Bouchee,"Westport, Connecticut",European,4.5,Nut-free,$$
Cos Cobber Pizza & Restaurant,"Greenwich, Connecticut","Italian,European",4.2,Dairy-free,$$
Mecha Noodle Bar,"New Haven, Connecticut","Asian,European",4.6,Vegetarian,$$
Bartaco,"Westport, Connecticut","Mexican,Mediterranean",4.5,"Vegan,Vegetarian",$$
Geronimo Tequila Bar,"New Haven, Connecticut",Mexican,4.4,"Gluten-free,Vegetarian",$$
Zuma Miami,"Miami, Florida","Japanese,Asian",4.6,Nut-free,$$$
NAOE Miami,"Miami, Florida","Japanese,Chinese",4.8,Vegan options,$$$$
Makoto Bal Harbour,"Bal Harbour, Florida",Japanese,4.5,Gluten-free,$$$
Bombay Darbar,"Orlando, Florida","Indian,Italian",4.4,Vegetarian,$$
Aashirwad Indian Cuisine,"Tampa, Florida","Indian,Mediterranean",4.3,Halal,$$
Tamarind Indian Cuisine,"Fort Lauderdale, Florida",Indian,4.5,Vegetarian,$$
Mr. Omakase,"Miami, Florida","Japanese,Mediterranean",4.7,Nut-free,$$$
Tiger Mama,"Miami, Florida",Asian,4.4,Dairy-free,$$
Hakkasan Miami,"Miami, Florida",Chinese,4.5,Nut-free,$$$
Soya & Pomodoro,"Naples, Florida","Italian,European",4.6,Vegetarian,$$
CVI.CHE 105,"Miami, Florida","Italian,European",4.7,Gluten-free,$$$
NAMA,"Tampa, Florida","Japanese,Asian",4.4,Vegan,$$
Mandolin Aegean Bistro,"Miami, Florida",Mediterranean,4.6,Vegetarian,$$$
Café Bastille,"Miami, Florida",European,4.5,Dairy-free,$$$
Cafe de Paris,"Sarasota, Florida",European,4.4,Vegetarian,$$$
Boulud Sud Miami,"Miami, Florida",Mediterranean,4.7,Gluten-free,$$$
El Cielo,"Miami, Florida",Mexican,4.6,Vegetarian,$$$
Casa D'Angelo,"Fort Lauderdale, Florida","Italian,European",4.5,Vegetarian,$$$
Il Mulino New York,"Miami Beach, Florida",Italian,4.7,Gluten-free,$$$
Osteria Morini,"Miami, Florida",Italian,4.5,Vegetarian,$$$
Uchi Miami,"Miami, Florida","Japanese,Chinese",4.8,Vegan,$$
Katsuya South Beach,"Miami Beach, Florida","Japanese,Indian",4.5,Nut-free,$$$
Blue Ribbon Sushi,"Miami Beach, Florida","Japanese,European,American",4.6,Gluten-free,$$
Ghee Indian Kitchen,"Miami, Florida","Indian,European",4.7,Vegetarian,$$
Darband Persian Grill,"Miami, Florida","European,American",4.4,Halal,$$
Zak the Baker,"Miami, Florida",European,4.6,Kosher,$$
The Local,"Coral Gables, Florida",American,4.5,Vegetarian,$$
Threefold Cafe,"Miami, Florida","American,Mexican",4.4,Vegan,$$
Planta South Beach,"Miami Beach, Florida",Mexican,4.6,Vegan,$$
The Nile,"Orlando, Florida","Mediterranean,Mexican",4.5,Vegetarian,$$
Nami,"Atlanta, Georgia","Japanese,Asian,Chinese",4.5,"Nut-free,Vegetarian",$$$
Eight Sushi Lounge,"Atlanta, Georgia",Japanese,4.7,Vegan options,$$$
Umi,"Atlanta, Georgia",Japanese,4.6,Gluten-free,$$$
Chai Pani,"Decatur, Georgia","Indian,Mexican",4.8,Vegetarian,$$
Bhojanic,"Atlanta, Georgia","Indian,Asian",4.4,"Halal,Vegetarian",$$
Zyka,"Decatur, Georgia","Chinese,Asian",4.3,Vegetarian,$
Tasty China,"Marietta, Georgia",Chinese,4.2,"Nut-free,Vegan",$$
Gu's Kitchen,"Atlanta, Georgia","Chinese,American",4.5,Dairy-free,$$
LanZhou Ramen,"Duluth, Georgia","Mexican,Chinese",4.4,Vegan,$
Rreal Tacos,"Atlanta, Georgia",Mexican,4.6,Vegetarian,$$
El Ponce,"Atlanta, Georgia",Mexican,4.5,"Dairy-free,Kosher",$$
Taqueria del Sol,"Atlanta, Georgia","Mediterranean,Mexican ",4.4,Vegetarian,$
Mediterranea,"Atlanta, Georgia",Mediterranean,4.7,Vegan,$$
Cafe Agora,"Atlanta, Georgia",Mediterranean,4.3,"Halal,Kosher",$
Aviva by Kameel,"Atlanta, Georgia","Italian,Asian",4.9,"Vegetarian,",$$$
BoccaLupo,"Atlanta, Georgia",Italian,4.5,"Gluten-free,Vegetarian",$$
Osteria 832,"Alpharetta, Georgia","Italian,American",4.4,Vegetarian,$$$
Storico Fresco,"Atlanta, Georgia",Italian,4.6,Vegan,$$
Little Alley,"Roswell, Georgia","Asian,American",4.5,Vegetarian,$$
Hai,"Atlanta, Georgia","Asian,Mediterranean",4.3,"Nut-free,Vegan",$
Talat Market,"Atlanta, Georgia",Asian,4.7,Vegan,$$
Food Terminal,"Atlanta, Georgia","Asian,Indian",4.4,"Vegetarian,Vegan",$
So Ba,"Atlanta, Georgia","Asian,Italian",4.2,"Kosher,Halal",$$
Nam Phuong,"Duluth, Georgia","Asian,Mexican",4.5,Vegetarian,$$
Pho Dai Loi,"Duluth, Georgia","European,Italian",4.3,"Vegetarian,Vegan",$$$
Falling Rabbit,"Atlanta, Georgia",European,4.6,Vegetarian,$$
The Consulate,"Atlanta, Georgia",European,4.5,Gluten-free,$$$
Bulla Gastrobar,"Alpharetta, Georgia","European,Mediterranean,Indian",4.4,Vegetarian,$$$
Cooks & Soldiers,"Atlanta, Georgia","European,Japanese,Chinese",4.7,"Kosher,Halal",$$$
The Iberian Pig,"Decatur, Georgia","European,Japanese,Chinese",4.8,"Gluten-free,Vegan",$$
MW Restaurant,Hawaii,American,4.6,"Gluten-Free,Halal",$$$
